"date","ticker","shares","closing_price","portfolio_value","received_dividends","name","portfolio"
"2020-01-03","AAPL",320,"74.36","23795.20","0.00","Apple Inc","Portfolio Joshua"
"2020-01-04","AAPL",320,"74.36","23795.20","0","Apple Inc","Portfolio Joshua"
"2020-01-05","AAPL",320,"74.36","23795.20","0","Apple Inc","Portfolio Joshua"
"2020-01-06","AAPL",320,"74.95","23984.00","0.00","Apple Inc","Portfolio Joshua"
"2020-01-07","AAPL",320,"74.60","23872.00","0.00","Apple Inc","Portfolio Joshua"
"2020-01-08","AAPL",320,"75.80","24256.00","0.00","Apple Inc","Portfolio Joshua"
"2020-01-09","AAPL",320,"77.41","24771.20","0.00","Apple Inc","Portfolio Joshua"
"2020-01-10","AAPL",320,"77.58","24825.60","0.00","Apple Inc","Portfolio Joshua"
"2020-01-11","AAPL",320,"77.58","24825.60","0","Apple Inc","Portfolio Joshua"
"2020-01-12","AAPL",320,"77.58","24825.60","0","Apple Inc","Portfolio Joshua"
"2020-01-13","AAPL",320,"79.24","25356.80","0.00","Apple Inc","Portfolio Joshua"
"2020-01-14","AAPL",320,"78.17","25014.40","0.00","Apple Inc","Portfolio Joshua"
"2020-01-15","AAPL",320,"77.83","24905.60","0.00","Apple Inc","Portfolio Joshua"
"2020-01-16","AAPL",320,"78.81","25219.20","0.00","Apple Inc","Portfolio Joshua"
"2020-01-17","AAPL",320,"79.68","25497.60","0.00","Apple Inc","Portfolio Joshua"
"2020-01-18","AAPL",320,"79.68","25497.60","0","Apple Inc","Portfolio Joshua"
"2020-01-19","AAPL",320,"79.68","25497.60","0","Apple Inc","Portfolio Joshua"
"2020-01-20","AAPL",320,"79.68","25497.60","0","Apple Inc","Portfolio Joshua"
"2020-01-21","AAPL",320,"79.14","25324.80","0.00","Apple Inc","Portfolio Joshua"
"2020-01-22","AAPL",320,"79.43","25417.60","0.00","Apple Inc","Portfolio Joshua"
"2020-01-23","AAPL",320,"79.81","25539.20","0.00","Apple Inc","Portfolio Joshua"
"2020-01-24","AAPL",320,"79.58","25465.60","0.00","Apple Inc","Portfolio Joshua"
"2020-01-25","AAPL",320,"79.58","25465.60","0","Apple Inc","Portfolio Joshua"
"2020-01-26","AAPL",320,"79.58","25465.60","0","Apple Inc","Portfolio Joshua"
"2020-01-27","AAPL",320,"77.24","24716.80","0.00","Apple Inc","Portfolio Joshua"
"2020-01-28","AAPL",320,"79.42","25414.40","0.00","Apple Inc","Portfolio Joshua"
"2020-01-29","AAPL",320,"81.08","25945.60","0.00","Apple Inc","Portfolio Joshua"
"2020-01-30","AAPL",320,"80.97","25910.40","0.00","Apple Inc","Portfolio Joshua"
"2020-01-31","AAPL",320,"77.38","24761.60","0.00","Apple Inc","Portfolio Joshua"
"2020-02-01","AAPL",320,"77.38","24761.60","0","Apple Inc","Portfolio Joshua"
"2020-02-02","AAPL",320,"77.38","24761.60","0","Apple Inc","Portfolio Joshua"
"2020-02-03","AAPL",320,"77.17","24694.40","0.00","Apple Inc","Portfolio Joshua"
"2020-02-04","AAPL",320,"79.71","25507.20","0.00","Apple Inc","Portfolio Joshua"
"2020-02-05","AAPL",320,"80.36","25715.20","0.00","Apple Inc","Portfolio Joshua"
"2020-02-06","AAPL",320,"81.30","26016.00","0.00","Apple Inc","Portfolio Joshua"
"2020-02-07","AAPL",320,"80.01","25603.20","60.80","Apple Inc","Portfolio Joshua"
"2020-02-08","AAPL",320,"80.01","25603.20","0","Apple Inc","Portfolio Joshua"
"2020-02-09","AAPL",320,"80.01","25603.20","0","Apple Inc","Portfolio Joshua"
"2020-02-10","AAPL",320,"80.39","25724.80","0.00","Apple Inc","Portfolio Joshua"
"2020-02-11","AAPL",320,"79.90","25568.00","0.00","Apple Inc","Portfolio Joshua"
"2020-02-12","AAPL",320,"81.80","26176.00","0.00","Apple Inc","Portfolio Joshua"
"2020-02-13","AAPL",320,"81.22","25990.40","0.00","Apple Inc","Portfolio Joshua"
"2020-02-14","AAPL",320,"81.24","25996.80","0.00","Apple Inc","Portfolio Joshua"
"2020-02-15","AAPL",320,"81.24","25996.80","0","Apple Inc","Portfolio Joshua"
"2020-02-16","AAPL",320,"81.24","25996.80","0","Apple Inc","Portfolio Joshua"
"2020-02-17","AAPL",320,"81.24","25996.80","0","Apple Inc","Portfolio Joshua"
"2020-02-18","AAPL",320,"79.75","25520.00","0.00","Apple Inc","Portfolio Joshua"
"2020-02-19","AAPL",320,"80.90","25888.00","0.00","Apple Inc","Portfolio Joshua"
"2020-02-20","AAPL",320,"80.07","25622.40","0.00","Apple Inc","Portfolio Joshua"
"2020-02-21","AAPL",320,"78.26","25043.20","0.00","Apple Inc","Portfolio Joshua"
"2020-02-22","AAPL",320,"78.26","25043.20","0","Apple Inc","Portfolio Joshua"
"2020-02-23","AAPL",320,"78.26","25043.20","0","Apple Inc","Portfolio Joshua"
"2020-02-24","AAPL",320,"74.54","23852.80","0.00","Apple Inc","Portfolio Joshua"
"2020-02-25","AAPL",320,"72.02","23046.40","0.00","Apple Inc","Portfolio Joshua"
"2020-02-26","AAPL",320,"73.16","23411.20","0.00","Apple Inc","Portfolio Joshua"
"2020-02-27","AAPL",320,"68.38","21881.60","0.00","Apple Inc","Portfolio Joshua"
"2020-02-28","AAPL",320,"68.34","21868.80","0.00","Apple Inc","Portfolio Joshua"
"2020-02-29","AAPL",320,"68.34","21868.80","0","Apple Inc","Portfolio Joshua"
"2020-03-01","AAPL",320,"68.34","21868.80","0","Apple Inc","Portfolio Joshua"
"2020-03-02","AAPL",320,"74.70","23904.00","0.00","Apple Inc","Portfolio Joshua"
"2020-03-03","AAPL",320,"72.33","23145.60","0.00","Apple Inc","Portfolio Joshua"
"2020-03-04","AAPL",320,"75.68","24217.60","0.00","Apple Inc","Portfolio Joshua"
"2020-03-05","AAPL",320,"73.23","23433.60","0.00","Apple Inc","Portfolio Joshua"
"2020-03-06","AAPL",320,"72.26","23123.20","0.00","Apple Inc","Portfolio Joshua"
"2020-03-07","AAPL",320,"72.26","23123.20","0","Apple Inc","Portfolio Joshua"
"2020-03-08","AAPL",320,"72.26","23123.20","0","Apple Inc","Portfolio Joshua"
"2020-03-09","AAPL",320,"66.54","21292.80","0.00","Apple Inc","Portfolio Joshua"
"2020-03-10","AAPL",320,"71.33","22825.60","0.00","Apple Inc","Portfolio Joshua"
"2020-03-11","AAPL",320,"68.86","22035.20","0.00","Apple Inc","Portfolio Joshua"
"2020-03-12","AAPL",320,"62.06","19859.20","0.00","Apple Inc","Portfolio Joshua"
"2020-03-13","AAPL",320,"69.49","22236.80","0.00","Apple Inc","Portfolio Joshua"
"2020-03-14","AAPL",320,"69.49","22236.80","0","Apple Inc","Portfolio Joshua"
"2020-03-15","AAPL",320,"69.49","22236.80","0","Apple Inc","Portfolio Joshua"
"2020-03-16","AAPL",320,"60.55","19376.00","0.00","Apple Inc","Portfolio Joshua"
"2020-03-17","AAPL",320,"63.22","20230.40","0.00","Apple Inc","Portfolio Joshua"
"2020-03-18","AAPL",320,"61.67","19734.40","0.00","Apple Inc","Portfolio Joshua"
"2020-03-19","AAPL",320,"61.19","19580.80","0.00","Apple Inc","Portfolio Joshua"
"2020-03-20","AAPL",320,"57.31","18339.20","0.00","Apple Inc","Portfolio Joshua"
"2020-03-21","AAPL",320,"57.31","18339.20","0","Apple Inc","Portfolio Joshua"
"2020-03-22","AAPL",320,"57.31","18339.20","0","Apple Inc","Portfolio Joshua"
"2020-03-23","AAPL",320,"56.09","17948.80","0.00","Apple Inc","Portfolio Joshua"
"2020-03-24","AAPL",320,"61.72","19750.40","0.00","Apple Inc","Portfolio Joshua"
"2020-03-25","AAPL",320,"61.38","19641.60","0.00","Apple Inc","Portfolio Joshua"
"2020-03-26","AAPL",320,"64.61","20675.20","0.00","Apple Inc","Portfolio Joshua"
"2020-03-27","AAPL",320,"61.94","19820.80","0.00","Apple Inc","Portfolio Joshua"
"2020-03-28","AAPL",320,"61.94","19820.80","0","Apple Inc","Portfolio Joshua"
"2020-03-29","AAPL",320,"61.94","19820.80","0","Apple Inc","Portfolio Joshua"
"2020-03-30","AAPL",320,"63.70","20384.00","0.00","Apple Inc","Portfolio Joshua"
"2020-03-31","AAPL",320,"63.57","20342.40","0.00","Apple Inc","Portfolio Joshua"
"2020-04-01","AAPL",320,"60.23","19273.60","0.00","Apple Inc","Portfolio Joshua"
"2020-04-02","AAPL",320,"61.23","19593.60","0.00","Apple Inc","Portfolio Joshua"
"2020-04-03","AAPL",320,"60.35","19312.00","0.00","Apple Inc","Portfolio Joshua"
"2020-04-04","AAPL",320,"60.35","19312.00","0","Apple Inc","Portfolio Joshua"
"2020-04-05","AAPL",320,"60.35","19312.00","0","Apple Inc","Portfolio Joshua"
"2020-04-06","AAPL",320,"65.62","20998.40","0.00","Apple Inc","Portfolio Joshua"
"2020-04-07","AAPL",320,"64.86","20755.20","0.00","Apple Inc","Portfolio Joshua"
"2020-04-08","AAPL",320,"66.52","21286.40","0.00","Apple Inc","Portfolio Joshua"
"2020-04-09","AAPL",320,"67.00","21440.00","0.00","Apple Inc","Portfolio Joshua"
"2020-04-10","AAPL",320,"67.00","21440.00","0","Apple Inc","Portfolio Joshua"
"2020-04-11","AAPL",320,"67.00","21440.00","0","Apple Inc","Portfolio Joshua"
"2020-04-12","AAPL",320,"67.00","21440.00","0","Apple Inc","Portfolio Joshua"
"2020-04-13","AAPL",320,"68.31","21859.20","0.00","Apple Inc","Portfolio Joshua"
"2020-04-14","AAPL",320,"71.76","22963.20","0.00","Apple Inc","Portfolio Joshua"
"2020-04-15","AAPL",320,"71.11","22755.20","0.00","Apple Inc","Portfolio Joshua"
"2020-04-16","AAPL",320,"71.67","22934.40","0.00","Apple Inc","Portfolio Joshua"
"2020-04-17","AAPL",320,"70.70","22624.00","0.00","Apple Inc","Portfolio Joshua"
"2020-04-18","AAPL",320,"70.70","22624.00","0","Apple Inc","Portfolio Joshua"
"2020-04-19","AAPL",320,"70.70","22624.00","0","Apple Inc","Portfolio Joshua"
"2020-04-20","AAPL",320,"69.23","22153.60","0.00","Apple Inc","Portfolio Joshua"
"2020-04-21","AAPL",320,"67.09","21468.80","0.00","Apple Inc","Portfolio Joshua"
"2020-04-22","AAPL",320,"69.03","22089.60","0.00","Apple Inc","Portfolio Joshua"
"2020-04-23","AAPL",320,"68.76","22003.20","0.00","Apple Inc","Portfolio Joshua"
"2020-04-24","AAPL",320,"70.74","22636.80","0.00","Apple Inc","Portfolio Joshua"
"2020-04-25","AAPL",320,"70.74","22636.80","0","Apple Inc","Portfolio Joshua"
"2020-04-26","AAPL",320,"70.74","22636.80","0","Apple Inc","Portfolio Joshua"
"2020-04-27","AAPL",320,"70.79","22652.80","0.00","Apple Inc","Portfolio Joshua"
"2020-04-28","AAPL",320,"69.64","22284.80","0.00","Apple Inc","Portfolio Joshua"
"2020-04-29","AAPL",320,"71.93","23017.60","0.00","Apple Inc","Portfolio Joshua"
"2020-04-30","AAPL",320,"73.45","23504.00","0.00","Apple Inc","Portfolio Joshua"
"2020-05-01","AAPL",320,"72.27","23126.40","0.00","Apple Inc","Portfolio Joshua"
"2020-05-02","AAPL",320,"72.27","23126.40","0","Apple Inc","Portfolio Joshua"
"2020-05-03","AAPL",320,"72.27","23126.40","0","Apple Inc","Portfolio Joshua"
"2020-05-04","AAPL",320,"73.29","23452.80","0.00","Apple Inc","Portfolio Joshua"
"2020-05-05","AAPL",320,"74.39","23804.80","0.00","Apple Inc","Portfolio Joshua"
"2020-05-06","AAPL",320,"75.16","24051.20","0.00","Apple Inc","Portfolio Joshua"
"2020-05-07","AAPL",320,"75.93","24297.60","0.00","Apple Inc","Portfolio Joshua"
"2020-05-08","AAPL",320,"77.53","24809.60","67.20","Apple Inc","Portfolio Joshua"
"2020-05-09","AAPL",320,"77.53","24809.60","0","Apple Inc","Portfolio Joshua"
"2020-05-10","AAPL",320,"77.53","24809.60","0","Apple Inc","Portfolio Joshua"
"2020-05-11","AAPL",320,"78.75","25200.00","0.00","Apple Inc","Portfolio Joshua"
"2020-05-12","AAPL",320,"77.85","24912.00","0.00","Apple Inc","Portfolio Joshua"
"2020-05-13","AAPL",320,"76.91","24611.20","0.00","Apple Inc","Portfolio Joshua"
"2020-05-14","AAPL",320,"77.39","24764.80","0.00","Apple Inc","Portfolio Joshua"
"2020-05-15","AAPL",320,"76.93","24617.60","0.00","Apple Inc","Portfolio Joshua"
"2020-05-16","AAPL",320,"76.93","24617.60","0","Apple Inc","Portfolio Joshua"
"2020-05-17","AAPL",320,"76.93","24617.60","0","Apple Inc","Portfolio Joshua"
"2020-05-18","AAPL",320,"78.74","25196.80","0.00","Apple Inc","Portfolio Joshua"
"2020-05-19","AAPL",320,"78.29","25052.80","0.00","Apple Inc","Portfolio Joshua"
"2020-05-20","AAPL",320,"79.81","25539.20","0.00","Apple Inc","Portfolio Joshua"
"2020-05-21","AAPL",320,"79.21","25347.20","0.00","Apple Inc","Portfolio Joshua"
"2020-05-22","AAPL",320,"79.72","25510.40","0.00","Apple Inc","Portfolio Joshua"
"2020-05-23","AAPL",320,"79.72","25510.40","0","Apple Inc","Portfolio Joshua"
"2020-05-24","AAPL",320,"79.72","25510.40","0","Apple Inc","Portfolio Joshua"
"2020-05-25","AAPL",320,"79.72","25510.40","0","Apple Inc","Portfolio Joshua"
"2020-05-26","AAPL",320,"79.18","25337.60","0.00","Apple Inc","Portfolio Joshua"
